step,time,pf_lat,pf_lon,pf_alt,t1_lat,t1_lon,t1_alt,t1_yaw,t1_vx,t1_vy,t1_vz,t1_spd,t2_lat,t2_lon,t2_alt,t2_yaw,t2_vx,t2_vy,t2_vz,t2_spd
90,9.0000,32.000000000,126.000000000,0.0000,32.125000000,126.027138761,0.0000,-90.0000,24.262155,17.645052,0.000000,30.000000,32.103768284,126.000000000,300.0000,-180.0000,-62.476199,85.991111,-169.417394,200.000000
91,9.1000,32.000000000,126.000000000,0.0000,32.125000000,126.027106970,0.0000,-90.0000,24.262165,17.645038,0.000000,30.000000,32.103587931,126.000000000,300.0000,-180.0000,-62.475886,85.990679,-169.417729,200.000000
92,9.2000,32.000000000,126.000000000,0.0000,32.125000000,126.027075178,0.0000,-90.0000,24.262174,17.645025,0.000000,30.000000,32.103407579,126.000000000,300.0000,-180.0000,-62.475572,85.990248,-169.418063,200.000000
93,9.3000,32.000000000,126.000000000,0.0000,32.125000000,126.027043387,0.0000,-90.0000,24.262184,17.645011,0.000000,30.000000,32.103227226,126.000000000,300.0000,-180.0000,-62.475259,85.989817,-169.418398,200.000000
94,9.4000,32.000000000,126.000000000,0.0000,32.125000000,126.027011595,0.0000,-90.0000,24.262194,17.644998,0.000000,30.000000,32.103046873,126.000000000,300.0000,-180.0000,-62.474945,85.989385,-169.418732,200.000000
95,9.5000,32.000000000,126.000000000,0.0000,32.125000000,126.026979803,0.0000,-90.0000,24.262204,17.644984,0.000000,30.000000,32.102866521,126.000000000,300.0000,-180.0000,-62.474632,85.988954,-169.419067,200.000000
96,9.6000,32.000000000,126.000000000,0.0000,32.125000000,126.026948012,0.0000,-90.0000,24.262214,17.644971,0.000000,30.000000,32.102686168,126.000000000,300.0000,-180.0000,-62.474318,85.988522,-169.419401,200.000000
97,9.7000,32.000000000,126.000000000,0.0000,32.125000000,126.026916220,0.0000,-90.0000,24.262223,17.644957,0.000000,30.000000,32.102505815,126.000000000,300.0000,-180.0000,-62.474005,85.988091,-169.419736,200.000000
98,9.8000,32.000000000,126.000000000,0.0000,32.125000000,126.026884429,0.0000,-90.0000,24.262233,17.644944,0.000000,30.000000,32.102325463,126.000000000,300.0000,-180.0000,-62.473691,85.987659,-169.420071,200.000000
99,9.9000,32.000000000,126.000000000,0.0000,32.125000000,126.026852637,0.0000,-90.0000,24.262243,17.644930,0.000000,30.000000,32.102145110,126.000000000,300.0000,-180.0000,-62.473378,85.987228,-169.420405,200.000000
100,10.0000,32.000000000,126.000000000,0.0000,32.125000000,126.026820846,0.0000,-90.0000,24.262253,17.644917,0.000000,30.000000,32.101964757,126.000000000,300.0000,-180.0000,-62.473065,85.986797,-169.420740,200.000000
