t,id,lat_deg,lon_deg,alt_m,yaw_deg
8.3,2,32.105030752,126.000000000,300.0026,180.0000
8.4,0,32.000000000,126.000000000,0.0000,0.0000
8.4,1,32.125000000,126.027329510,0.0001,270.0000
8.4,2,32.104850400,126.000000000,300.0027,180.0000
8.5,0,32.000000000,126.000000000,0.0000,0.0000
8.5,1,32.125000000,126.027297719,0.0001,270.0000
8.5,2,32.104670047,126.000000000,300.0027,180.0000
8.6,0,32.000000000,126.000000000,0.0000,0.0000
8.6,1,32.125000000,126.027265927,0.0001,270.0000
8.6,2,32.104489694,126.000000000,300.0027,180.0000
8.7,0,32.000000000,126.000000000,0.0000,0.0000
8.7,1,32.125000000,126.027234136,0.0001,270.0000
8.7,2,32.104309342,126.000000000,300.0028,180.0000
8.8,0,32.000000000,126.000000000,0.0000,0.0000
8.8,1,32.125000000,126.027202344,0.0001,270.0000
8.8,2,32.104128989,126.000000000,300.0028,180.0000
8.9,0,32.000000000,126.000000000,0.0000,0.0000
8.9,1,32.125000000,126.027170553,0.0001,270.0000
8.9,2,32.103948637,126.000000000,300.0028,180.0000
9.0,0,32.000000000,126.000000000,0.0000,0.0000
9.0,1,32.125000000,126.027138761,0.0001,270.0000
9.0,2,32.103768284,126.000000000,300.0029,180.0000
9.1,0,32.000000000,126.000000000,0.0000,0.0000
9.1,1,32.125000000,126.027106970,0.0001,270.0000
9.1,2,32.103587931,126.000000000,300.0029,180.0000
9.2,0,32.000000000,126.000000000,0.0000,0.0000
9.2,1,32.125000000,126.027075178,0.0001,270.0000
9.2,2,32.103407579,126.000000000,300.0029,180.0000
9.3,0,32.000000000,126.000000000,0.0000,0.0000
9.3,1,32.125000000,126.027043387,0.0001,270.0000
9.3,2,32.103227226,126.000000000,300.0030,180.0000
9.4,0,32.000000000,126.000000000,0.0000,0.0000
9.4,1,32.125000000,126.027011595,0.0001,270.0000
9.4,2,32.103046873,126.000000000,300.0030,180.0000
9.5,0,32.000000000,126.000000000,0.0000,0.0000
